ID,Concept,Familiarity,Pain,Smell,Color,Taste,Sound,Grasp,Motion,Familiarity_RT,Pain_RT,Smell_RT,Color_RT,Taste_RT,Sound_RT,Grasp_RT,Motion_RT,PC1_scores,PC2_scores
465,spatula,7.48,2.91,1.86,2.78,2.26,2.1,6.74,3.14,1556,1602,788,1130,1106,930,1045,1242,-0.69,-0.8
466,spear,6.79,6.9,1.56,3.17,1.58,2.71,6.13,4.2,1835,844,823,1424,1351,1566,1605,1477,0.37,-1.14
467,spider,7.56,4.64,1.64,2.6,1.63,1.64,5.3,6.04,1572,1423,1146,1123,822,638,912,1223,0.21,-0.98
468,spinach,7.47,1.78,3.58,6.15,6.26,1.05,6.13,1.23,1595,781,1492,979,1107,812,1000,1001,-1.28,1.54
469,spoon,7.57,1.52,1.86,3.36,2.7,2.05,7.9,2.82,1395,929,1041,1532,1548,1245,775,1150,-1.15,-0.52
470,squid,7.15,3.65,5.08,3.17,5.04,1.92,4.71,5.95,1735,1206,1167,1122,834,1204,1469,1380,0.44,1.28
471,squirrel,7.27,3.48,3.17,3.26,2.63,2.79,5.32,7.09,1625,1000,1038,1158,1648,1115,1294,994,0.58,0.09
472,starling,3.92,2.64,2,4.22,2.5,2.83,2.18,3.15,2242,1412,1339,1194,1434,1485,1463,1220,0.01,-0.26
473,stereo,7.57,2.58,1.29,2.91,1.48,7.23,4.22,1.83,1668,1240,1098,1112,1181,1291,1329,981,0.35,-1.19
474,stick,7.27,5.96,1.82,2.5,1.45,2.39,7.11,2.43,1706,1474,1044,1338,1037,1111,753,1222,-0.27,-1.31
475,stone,7.54,5.52,1.78,2.26,2,1.87,6.48,1.43,1849,1232,711,823,895,1077,1131,1123,-0.57,-1.26
476,stork,6.15,3.3,3.23,3.04,2.39,3.23,2.44,5.58,1834,1301,1144,922,1352,1187,1265,775,0.75,-0.03
477,stove,7.6,5.04,3.56,3.27,1.6,2.62,1.68,1.67,1641,1387,1194,1403,893,1407,982,1106,0.37,-0.39
478,strainer,7.07,1.96,2.38,3,2.05,1.59,6.33,1.82,1857,1153,1099,1357,1691,986,1145,1040,-1.08,-0.65
479,strawberry,7.72,1.35,5.08,7.22,7.67,1.11,7.71,1.52,1493,1071,1279,1040,982,962,848,1016,-1.36,2.67
480,submarine,6.87,3.52,2.35,3.27,1.55,5,1.42,5.55,1811,1447,1773,1656,1373,1759,834,1063,1.2,-0.49
481,subway,7.18,4.25,4.3,2.38,2.38,6.25,1.43,6.95,1892,1591,1537,1087,985,1328,911,982,2.02,0.24
482,sun,7.57,5.72,1.9,7.12,1.17,1.38,1.09,4,1590,1495,1542,943,1223,1376,723,1956,0.56,-0.08
483,surfboard,7.08,4.25,2.46,4.82,1.39,2,4.77,5.55,1809,1565,1116,1335,1126,1369,2445,1332,0.3,-0.25
484,swan,7.04,3.24,3.46,2.92,3.05,3.71,2.55,6.12,1772,1189,1770,1302,1107,1117,1539,1187,0.92,0.23
485,sweater,7.67,1.61,2.24,4.7,2.32,1.17,7.08,2.25,1624,1090,1035,879,988,1075,1057,1561,-1.26,-0.21
486,swimsuit,7.58,1.78,3.46,6.04,2,1.21,6.27,2.35,1562,851,1074,1085,1109,966,1666,1756,-0.96,0.45
487,sword,7.06,7.42,1.35,3.7,1.3,3.91,6.5,3.38,1767,1464,1054,1407,920,1594,1212,1130,0.49,-1.25
488,table,7.79,2.7,1.36,3.28,1.48,1.8,2.36,1.22,1525,1160,1137,991,775,1059,1756,1095,-0.6,-1.08
489,tack,6.95,5.46,1.45,2.59,1.5,1.45,6.9,1.5,1936,1408,578,1129,1064,1226,915,1043,-0.73,-1.43
490,tangerine,7.64,1.54,5.92,7.39,7.42,1.22,7.91,1.52,1650,1164,1019,684,1125,669,939,1333,-1.23,2.92
491,tap,6.45,2.39,1.63,2.28,2,3.43,3.95,2.13,2400,1698,902,1840,1652,1751,1575,1663,-0.35,-1.04
492,taxi,7.38,4.17,3.93,6.96,1.52,5.41,2.5,6.95,1648,1154,914,777,1034,978,1177,961,1.68,0.91
493,teacup,7.36,1.83,1.9,4.17,1.67,2.24,7.55,2.67,1745,1504,1021,1695,1184,1096,1040,989,-1.01,-0.61
494,telephone,7.74,2.32,1.22,3.25,1.67,5.52,7.81,2.85,1564,1533,768,1097,666,1456,863,1462,-0.33,-1.08
495,tent,7.12,2.52,2.45,3.95,1.42,2.05,2.1,1.55,1686,1367,1528,1133,1279,1450,1668,1489,-0.37,-0.54
496,thermometer,7.5,1.89,1,3.41,1.82,1.09,7.45,2.4,1623,1071,871,995,711,807,1246,1175,-1.38,-1.07
497,thimble,6.61,2.42,1.17,2.27,1.91,1.39,7,2.05,1812,931,965,1139,948,1094,918,1183,-1.21,-1.29
498,tie,7.5,2.42,1.35,5,1.9,1.05,7.29,2.09,1558,1152,1308,1269,1138,877,690,1154,-1.29,-0.62
499,tiger,7.05,6.35,3.59,6.83,2.71,5.62,1.52,6.52,1653,1507,1599,945,1297,1033,1062,1061,2.08,0.94
500,tissue,7.55,1.45,1.83,1.45,1.82,2.08,7.88,1.95,1568,908,1344,1127,1052,1150,818,996,-1.3,-1.24
501,toad,7.05,2.05,3.86,4.39,1.96,3.29,5.33,5.71,1795,1074,1255,1035,1015,1408,1820,1091,0.28,0.41
502,toaster,7.55,3.96,4.55,2.88,2.08,2.82,4.43,1.64,1694,1439,1780,974,1249,1132,1068,898,-0.04,-0.01
