Word	VersionNum	WordType	Block	Word_ID_unique	RTclean_mean	RTclean_sd	Rtclean_n	zRTclean_mean	zRTclean_sd	zRTclean_n	ACC	ACC_n	Concrete_rating
touchy	2	Abstract	1	20200	1042.42	356.19	24	0.07	0.76	24	77.42	31	2.44
toughen	8	Abstract	4	80886	1128.00	324.64	22	0.58	0.90	22	70.97	31	2.41
toughly	2	Abstract	2	20453	922.30	359.15	30	-0.18	0.97	30	96.77	31	2.14
toughness	2	Abstract	2	20487	956.50	358.36	26	-0.08	0.99	26	80.65	31	2.41
toupee	5	Concrete	2	50331	922.80	279.81	30	-0.25	0.84	30	93.75	32	4.65
tourist	7	Concrete	3	70570	784.10	192.10	29	-0.62	0.58	29	96.77	31	4.59
tournament	2	Concrete	3	20613	857.33	330.76	27	-0.38	0.96	27	87.10	31	4.11
tourniquet	1	Concrete	4	10837	1022.78	343.07	23	0.24	0.84	23	77.42	31	4.5
towing	4	Concrete	4	40751	947.72	353.41	29	0.10	1.24	29	93.55	31	4.38
towline	8	Concrete	3	80565	1062.33	398.60	30	0.22	1.04	30	96.77	31	4.52
town	6	Concrete	4	60795	758.17	219.87	30	-0.78	0.71	30	100.00	31	4.64
townsfolk	1	Concrete	2	10339	857.00	322.43	31	-0.53	0.62	31	100.00	31	3.82
townsman	9	Concrete	1	90114	964.47	366.25	30	-0.35	1.03	30	100.00	30	4
townspeople	4	Concrete	1	40038	842.19	256.34	31	-0.62	0.59	31	100.00	32	4.21
townswoman	5	Concrete	4	50762	816.84	287.38	31	-0.55	0.81	31	96.88	32	4.24
toxicologist	1	Concrete	4	10796	878.39	270.58	31	-0.29	0.70	31	100.00	31	3.68
toxin	5	Concrete	2	50286	908.90	245.22	29	-0.31	0.61	29	90.63	32	3.89
toying	5	Abstract	3	50748	1211.10	404.11	21	0.55	1.16	21	62.50	32	2.3
traceable	3	Abstract	2	30405	1167.48	480.80	25	0.53	1.21	25	80.65	31	2.14
tracer	7	Concrete	2	70312	986.15	304.77	27	0.06	0.87	27	87.10	31	3.57
tracker	8	Concrete	1	80077	983.79	416.13	29	-0.19	1.20	29	93.55	31	3.89
tracksuit	3	Concrete	2	30290	942.10	354.12	30	-0.25	0.58	30	96.77	31	4.73
tradesman	6	Concrete	4	60791	833.93	274.47	29	-0.52	0.60	29	93.55	31	4.07
traditionally	3	Abstract	1	30217	1025.68	418.46	31	-0.22	0.76	31	100.00	31	1.41
traffic	4	Concrete	2	40258	1035.32	472.31	31	0.09	1.15	31	96.88	32	4.67
tragedy	1	Abstract	3	10638	996.93	401.24	27	0.01	1.18	27	90.32	31	2.07
trailer	5	Concrete	1	50085	1039.13	414.60	30	0.15	1.23	30	96.88	32	4.79
trainee	1	Concrete	4	10872	983.97	365.43	29	-0.05	0.91	29	93.55	31	3.89
trainer	7	Concrete	4	70776	780.17	246.56	29	-0.61	0.61	29	96.77	31	4.31
traitorous	3	Abstract	2	30385	1102.44	418.50	27	0.28	1.08	27	87.10	31	1.71
trampoline	8	Concrete	2	80341	820.16	346.91	31	-0.53	0.84	31	100.00	31	5
tranquil	1	Abstract	2	10405	1165.62	425.29	26	0.47	0.96	26	87.10	31	1.9
tranquility	7	Abstract	2	70438	985.45	342.43	29	0.04	0.87	29	96.77	31	2.33
tranquilizer	2	Concrete	3	20538	971.73	289.57	30	-0.02	0.68	30	96.77	31	4.55
tranquilizers	10	Concrete	1	100089	1060.90	339.15	29	0.07	0.74	29	90.63	32	4.26
transcend	6	Abstract	2	60476	1032.81	305.75	26	0.14	0.84	26	83.87	31	1.93
transcendence	1	Abstract	2	10489	1216.13	475.18	30	0.59	0.98	30	96.77	31	1.48
transcending	3	Abstract	4	30908	947.77	258.31	30	-0.01	0.81	30	96.77	31	1.41
transcript	8	Concrete	2	80268	895.07	203.36	29	-0.30	0.64	29	93.55	31	4.07
transducer	7	Concrete	4	70761	1084.27	366.16	22	0.48	1.06	22	70.97	31	3.81
transference	10	Abstract	1	100188	1177.13	429.79	24	0.36	0.90	24	75.00	32	1.86
transferral	10	Abstract	4	100926	1077.00	530.41	26	0.14	0.95	26	87.50	32	2.03
transformer	7	Concrete	1	70090	1072.96	458.55	28	0.14	1.26	28	83.87	31	3.75
transfuse	5	Abstract	1	50140	1049.78	249.32	23	0.33	0.94	23	75.00	32	2.46
transistor	3	Concrete	2	30355	1115.64	383.67	28	0.27	0.79	28	90.32	31	4.12
transit	4	Concrete	4	40765	886.94	203.29	31	-0.14	0.57	31	96.88	32	3.61
transitory	7	Abstract	3	70717	1164.79	490.96	29	0.48	1.22	29	93.55	31	1.64
translator	10	Concrete	3	100577	1079.00	518.17	27	0.13	1.23	27	87.50	32	3.86
transmission	9	Concrete	2	90307	1209.39	474.74	18	0.58	1.00	18	60.00	30	4
transmitter	6	Concrete	1	60010	1047.11	372.69	28	-0.14	0.77	28	90.32	31	4.37
transpire	6	Abstract	3	60725	1084.28	333.49	29	0.18	0.64	29	96.77	31	2.27
transplant	4	Concrete	3	40555	1048.05	438.91	22	0.33	1.21	22	68.75	32	3.77
transportation	10	Concrete	2	100283	1141.42	458.91	24	0.36	1.14	24	75.00	32	3.89
transporter	5	Concrete	2	50357	996.35	371.25	26	0.04	1.06	26	84.38	32	3.96
transpose	2	Abstract	2	20381	1251.33	497.99	27	0.70	1.08	27	93.55	31	2.47
transverse	5	Abstract	3	50629	1075.88	318.45	24	0.42	1.11	24	81.25	32	2.19
transvestite	2	Concrete	1	20096	1133.74	339.93	23	0.50	1.04	23	74.19	31	3.85
trapper	6	Concrete	4	60780	915.47	345.26	30	-0.34	0.76	30	96.77	31	3.59
trashcan	5	Concrete	3	50563	926.00	266.21	32	-0.35	0.60	32	100.00	32	4.86
traumatic	10	Abstract	3	100646	1068.27	461.66	30	0.22	1.33	30	90.63	32	2.37
travel	6	Concrete	4	60753	876.12	304.21	25	-0.30	0.98	25	80.65	31	3.67
traveler	9	Concrete	2	90341	829.43	247.84	30	-0.52	0.69	30	100.00	30	4.07
traveller	2	Concrete	3	20567	760.16	301.15	31	-0.80	0.66	31	100.00	31	4.57
travesty	4	Abstract	3	40741	915.68	238.12	31	-0.05	0.80	31	96.88	32	2.07
treacherous	5	Abstract	2	50424	979.74	259.15	31	-0.09	0.79	31	96.88	32	2.21
treachery	10	Abstract	1	100147	977.55	302.53	20	-0.19	0.57	20	65.63	32	1.69
treadmill	10	Concrete	1	100079	780.97	174.34	32	-0.80	0.44	32	100.00	32	4.93
treason	1	Abstract	3	10641	1148.68	450.76	25	0.45	1.04	25	80.65	31	2.03
treasonous	3	Abstract	1	30178	1322.64	494.25	28	0.63	1.12	28	90.32	31	1.46
treasure	7	Concrete	1	70114	867.39	290.86	28	-0.42	1.19	28	90.32	31	4.32
treasurer	2	Concrete	2	20334	989.29	422.74	28	-0.11	0.89	28	90.32	31	3.73
treating	7	Abstract	1	70245	1161.62	357.86	26	0.37	1.06	26	83.87	31	2.12
treeless	8	Concrete	1	80123	1342.71	444.60	24	1.02	1.28	24	74.19	31	4.24
tremble	4	Concrete	4	40780	944.12	305.66	25	0.00	0.84	25	78.13	32	3.61
tremor	4	Concrete	4	40870	1015.05	322.60	22	0.38	1.09	22	71.88	32	3.89
trencher	2	Concrete	2	20354	1047.19	449.83	26	0.22	1.05	26	83.87	31	3.62
trend	5	Abstract	1	50201	1178.09	404.79	22	0.43	0.99	22	68.75	32	2.42
trendiness	1	Abstract	1	10229	1048.27	360.10	30	0.13	0.99	30	93.55	31	1.92
trendy	3	Abstract	3	30698	864.56	278.59	27	-0.44	0.57	27	87.10	31	2.33
trepidation	4	Abstract	3	40672	1101.35	343.90	31	0.45	0.99	31	96.88	32	1.68
trespasser	1	Concrete	2	10269	1005.97	396.81	29	0.06	1.03	29	93.55	31	4.11
tresses	6	Concrete	4	60758	1089.38	315.73	21	0.39	0.89	21	67.74	31	3.92
triangle	4	Concrete	3	40567	826.55	226.42	31	-0.43	0.86	31	96.88	32	4.52
triangular	7	Concrete	3	70512	881.95	284.82	22	-0.11	1.00	22	77.42	31	4.07
tribesman	1	Concrete	4	10874	931.23	424.90	31	-0.25	0.88	31	100.00	31	4.61
tributary	4	Concrete	4	40852	1424.00	524.64	8	1.55	0.73	8	25.81	31	3.68
triceps	6	Concrete	2	60307	886.53	223.21	30	-0.37	0.56	30	96.77	31	4.46
trickery	7	Abstract	4	70892	889.06	395.74	31	-0.31	0.87	31	100.00	31	1.9
tricking	9	Abstract	4	90902	1046.65	333.72	17	0.49	1.31	17	63.33	30	2.37
trickle	4	Concrete	4	40803	1024.17	376.44	29	0.38	1.25	29	90.32	31	3.59
tricky	7	Abstract	4	70934	920.04	318.08	28	-0.12	0.90	28	90.32	31	2.04
tricycle	10	Concrete	3	100590	879.17	378.86	30	-0.45	0.86	30	93.75	32	4.68
trident	7	Concrete	4	70792	1085.20	287.70	25	0.56	0.89	25	80.65	31	4.5
tried	4	Abstract	3	40668	1056.93	394.66	27	0.37	1.25	27	90.63	32	2.07
trimming	10	Concrete	3	100617	1082.30	380.70	23	0.31	1.07	23	71.88	32	3.86
trinket	6	Concrete	1	60042	1037.89	368.25	28	-0.23	0.64	28	90.32	31	4.48
triplet	4	Concrete	1	40105	1072.54	436.64	28	0.12	1.14	28	87.50	32	4.36
triplex	2	Concrete	1	20101	1052.94	293.50	18	0.39	0.86	18	58.06	31	3.68
tripper	1	Concrete	4	10844	964.44	430.90	27	-0.06	0.96	27	90.32	31	4.04
tripwire	9	Concrete	3	90601	1010.86	433.19	28	0.07	0.98	28	96.67	30	4.13
trite	6	Abstract	4	60889	1038.61	520.20	18	0.17	1.01	18	58.06	31	2.09
triumph	1	Abstract	4	10918	1107.19	410.82	27	0.35	0.96	27	87.10	31	2.17
triumphant	6	Abstract	3	60749	1095.33	356.74	24	0.40	1.07	24	77.42	31	2
trivialize	3	Abstract	4	30977	1002.44	243.45	27	0.19	0.61	27	90.32	31	2
trivially	10	Abstract	2	100438	1107.04	568.85	28	0.20	1.04	28	90.63	32	1.68
troll	7	Concrete	4	70797	923.61	345.99	28	0.00	1.30	28	87.10	31	4.28
trombone	3	Concrete	2	30357	951.40	300.33	30	-0.24	0.76	30	96.77	31	4.9
trooper	2	Concrete	3	20625	813.58	282.53	31	-0.59	0.80	31	100.00	31	4
troops	7	Concrete	4	70847	835.34	396.34	29	-0.30	1.19	29	93.55	31	4.21
trot	2	Concrete	3	20572	897.74	353.65	27	-0.28	0.96	27	83.87	31	4.11
trouble	10	Abstract	3	100656	1018.03	357.94	30	-0.05	0.92	30	93.75	32	2.25
troublesome	7	Abstract	1	70136	1031.96	323.03	28	-0.10	0.66	28	93.55	31	2.04
troupe	7	Concrete	3	70559	1025.59	402.09	22	0.22	1.06	22	70.97	31	4
trousers	10	Concrete	4	100838	832.66	278.45	32	-0.50	0.64	32	100.00	32	4.93
truce	2	Abstract	1	20233	1013.34	336.75	29	-0.10	0.83	29	93.55	31	2.47
trucking	9	Concrete	2	90314	1042.27	439.28	26	0.13	1.11	26	90.00	30	3.72
trucks	6	Concrete	4	60786	754.57	327.95	30	-0.82	0.62	30	96.77	31	4.89
truculent	6	Abstract	2	60469	1317.26	620.90	23	0.81	1.26	23	74.19	31	1.96
true	6	Abstract	4	60992	882.29	282.40	24	-0.38	0.91	24	77.42	31	1.7
truelove	7	Abstract	4	70918	1095.70	302.41	27	0.43	0.72	27	87.10	31	2.46
truly	2	Abstract	4	20891	860.97	293.01	31	-0.40	0.80	31	100.00	31	1.62
trumpet	9	Concrete	1	90004	850.54	341.76	28	-0.71	0.81	28	93.33	30	4.86
trumpeter	7	Concrete	2	70311	897.43	283.68	30	-0.28	0.86	30	96.77	31	4.56
trust	9	Abstract	1	90167	915.00	272.22	27	-0.51	0.81	27	93.33	30	2.04
trustful	9	Abstract	4	90970	922.15	349.81	27	-0.02	1.15	27	86.67	30	1.76
trusty	2	Abstract	2	20469	791.54	228.18	28	-0.68	0.53	28	90.32	31	2.23
truth	10	Abstract	3	100733	989.77	434.84	30	-0.11	0.88	30	93.75	32	1.96
truthful	4	Abstract	1	40233	868.67	220.34	30	-0.56	0.62	30	93.75	32	1.9
truthfully	10	Abstract	3	100721	866.66	378.27	29	-0.44	0.97	29	87.50	32	1.72
try	4	Abstract	4	40889	788.15	203.22	27	-0.52	0.51	27	84.38	32	2.22
trying	4	Abstract	4	40972	785.69	215.73	32	-0.49	0.68	32	100.00	32	2.11
tryst	7	Abstract	4	70976	1154.92	546.18	24	0.72	1.38	24	67.74	31	2.04
tuba	3	Concrete	3	30607	777.58	299.95	31	-0.78	0.73	31	100.00	31	4.86
tuberculosis	2	Concrete	1	20117	1083.96	393.81	28	0.13	0.94	28	90.32	31	3.62
tubful	10	Concrete	1	100090	1093.00	365.49	26	0.15	1.05	26	81.25	32	3.92
tubing	6	Concrete	2	60350	926.87	246.26	30	-0.24	0.72	30	96.77	31	4.38
tucking	2	Concrete	1	20118	1099.77	441.66	26	0.18	1.03	26	83.87	31	4.1
tuft	10	Concrete	3	100520	982.52	352.20	21	-0.06	0.84	21	65.63	32	3.85
tugboat	10	Concrete	4	100808	847.73	265.26	30	-0.41	0.85	30	96.88	32	4.78
tulip	7	Concrete	3	70544	852.31	376.04	29	-0.52	0.72	29	93.55	31	5
tumble	7	Concrete	3	70506	1015.61	424.75	23	0.15	1.14	23	74.19	31	3.89
tumbler	6	Concrete	4	60855	1022.54	304.24	28	0.07	0.71	28	93.55	31	4.08
tumbleweed	8	Concrete	3	80621	816.10	283.39	30	-0.58	0.66	30	96.77	31	4.84
tumbling	4	Concrete	1	40081	1061.36	373.68	22	0.01	1.00	22	68.75	32	3.76
tuned	4	Abstract	2	40418	1093.95	310.24	19	0.30	1.01	19	59.38	32	2.41
tuneless	9	Abstract	3	90723	1189.14	501.82	22	0.58	1.17	22	76.67	30	2.08
tunic	7	Concrete	3	70527	908.50	449.94	22	-0.11	0.96	22	70.97	31	3.75
tunnel	5	Concrete	1	50093	794.91	255.80	32	-0.68	0.63	32	100.00	32	4.82
turbine	5	Concrete	2	50288	941.82	306.80	28	-0.08	0.88	28	90.63	32	4.59
turbojet	5	Concrete	4	50791	981.15	313.56	27	-0.07	0.68	27	84.38	32	4.46
turbulence	8	Concrete	1	80013	1173.50	318.81	18	0.48	1.16	18	58.06	31	3.57
turmoil	6	Abstract	2	60445	1216.00	378.39	19	0.55	1.06	19	61.29	31	2.11
turncoat	1	Concrete	2	10299	865.67	222.32	27	-0.34	0.83	27	87.10	31	4.11
turnip	3	Concrete	1	30054	885.32	436.95	31	-0.61	0.73	31	100.00	31	4.79
turnoff	3	Abstract	2	30481	1181.48	380.78	21	0.58	0.94	21	67.74	31	2.36
turnpike	10	Concrete	3	100559	1058.93	354.71	29	0.22	0.86	29	90.63	32	4.38
turnstile	3	Concrete	1	30063	1208.73	406.88	22	0.39	0.92	22	70.97	31	4.36
turntable	5	Concrete	3	50557	1059.68	247.13	22	0.13	0.65	22	68.75	32	4.57
turpentine	2	Concrete	3	20604	1237.87	504.61	23	0.75	1.00	23	70.97	31	4.86
turquoise	4	Concrete	2	40319	1023.88	326.67	24	0.07	0.85	24	78.13	32	4.41
turtledove	5	Concrete	3	50552	1178.45	533.07	29	0.24	1.06	29	90.63	32	4.61
turtleneck	4	Concrete	3	40564	839.61	256.12	31	-0.38	0.79	31	96.88	32	4.7
tweeter	5	Concrete	3	50579	1181.04	443.71	26	0.51	1.34	26	81.25	32	3.56
tweezer	3	Concrete	4	30825	786.16	190.43	31	-0.53	0.74	31	100.00	31	4.89
twerp	7	Abstract	4	70887	982.40	374.61	10	0.41	1.22	10	32.26	31	2.44
twilight	4	Concrete	1	40051	1082.25	338.74	28	0.22	1.04	28	84.38	32	4.11
twirl	10	Concrete	3	100575	873.48	377.72	21	-0.54	0.72	21	65.63	32	3.92
twirler	8	Concrete	1	80065	1071.74	374.80	27	0.14	1.06	27	90.32	31	3.6
twister	9	Concrete	2	90367	1051.56	411.92	27	0.24	1.21	27	86.67	30	4.44
twitter	6	Concrete	2	60298	1040.46	493.14	26	0.03	1.04	26	83.87	31	4.1
tycoon	9	Concrete	2	90268	889.10	271.15	29	-0.25	0.86	29	96.67	30	3.68
typeface	3	Concrete	2	30295	1172.70	426.40	23	0.58	1.05	23	74.19	31	4.21
typesetter	1	Concrete	1	10025	1050.15	373.58	27	0.09	0.84	27	87.10	31	3.82
typewrite	10	Concrete	1	100046	911.89	298.48	27	-0.34	0.95	27	84.38	32	3.96
typewriter	7	Concrete	1	70088	870.29	346.67	31	-0.58	0.90	31	100.00	31	4.88
typewriting	1	Concrete	2	10350	882.18	282.76	28	-0.34	0.78	28	93.55	31	4.43
typewritten	7	Concrete	2	70309	920.41	406.56	27	-0.14	1.34	27	83.87	31	4
typhoon	4	Concrete	2	40352	887.07	283.79	29	-0.38	0.70	29	93.75	32	4.55
typical	7	Abstract	3	70691	958.50	392.68	30	-0.15	0.77	30	100.00	31	1.52
typically	10	Abstract	1	100197	982.63	312.48	30	-0.14	0.90	30	90.63	32	1.67
typist	1	Concrete	3	10537	826.97	175.09	29	-0.46	0.66	29	93.55	31	4.41
tyrannical	7	Abstract	2	70484	1062.69	361.74	29	0.26	1.00	29	96.77	31	2.19
tyrannosaurus	6	Concrete	1	60051	1088.83	433.54	30	-0.11	0.84	30	96.77	31	4.62
tyranny	6	Abstract	4	60922	1214.00	425.98	23	0.55	0.94	23	74.19	31	1.68
ukulele	9	Concrete	4	90849	930.88	272.21	26	-0.05	0.87	26	86.67	30	4.62
ulcer	3	Concrete	4	30760	890.27	326.13	30	-0.27	0.82	30	96.77	31	4.69
ulterior	5	Abstract	2	50448	1130.97	353.10	30	0.47	1.02	30	93.75	32	1.44
ultimatum	7	Abstract	1	70138	1076.25	256.00	28	0.20	0.92	28	93.55	31	2.07
umbilical	9	Concrete	1	90016	1236.00	412.23	24	0.55	1.02	24	80.00	30	3.88
umbrella	1	Concrete	4	10853	697.71	173.73	31	-0.88	0.49	31	100.00	31	5
unabashed	2	Abstract	1	20129	1171.41	462.76	29	0.44	1.12	29	90.32	31	1.89
unabated	3	Abstract	2	30387	1137.90	437.66	29	0.40	1.06	29	93.55	31	1.85
unable	5	Abstract	3	50743	884.06	252.71	31	-0.43	0.71	31	96.88	32	1.77
unabridged	4	Abstract	4	40949	1126.00	351.13	29	0.67	0.91	29	93.75	32	2.12
unadvised	8	Abstract	2	80496	1022.65	447.35	31	0.01	0.93	31	100.00	31	1.72
unadvisedly	4	Abstract	4	40969	799.45	237.05	29	-0.38	0.77	29	93.55	31	1.3
unaffected	8	Abstract	3	80746	990.55	405.74	31	-0.05	1.04	31	100.00	31	1.77
unafraid	3	Abstract	4	30879	881.77	303.84	31	-0.28	0.77	31	100.00	31	1.84
unaided	3	Abstract	1	30131	1264.68	433.78	25	0.60	1.06	25	80.65	31	1.88
unambiguous	5	Abstract	4	50978	899.50	255.02	30	-0.22	0.85	30	93.75	32	1.4
unattached	5	Abstract	1	50147	992.21	356.12	28	-0.02	1.06	28	90.63	32	2.48
unattractive	2	Abstract	2	20428	960.36	224.34	28	-0.08	0.76	28	90.32	31	2.04
unavoidable	6	Abstract	4	60908	908.65	312.99	31	-0.33	0.70	31	100.00	31	1.64
unawares	8	Abstract	4	80894	1030.81	446.17	31	0.12	1.16	31	100.00	31	1.87
unbalance	9	Abstract	3	90704	1045.16	353.89	25	0.22	1.00	25	86.67	30	2.46
unbearable	10	Abstract	4	100886	939.78	316.52	32	-0.16	0.69	32	100.00	32	2
unbeatable	10	Abstract	3	100734	1088.52	429.10	29	0.30	1.10	29	87.50	32	1.73
unbeaten	1	Abstract	4	10940	1036.13	390.30	31	0.14	1.07	31	100.00	31	2.42
unbelief	10	Abstract	3	100642	913.17	296.96	29	-0.24	0.89	29	90.63	32	1.56
unbeliever	6	Abstract	4	60910	937.59	336.53	22	-0.20	0.75	22	70.97	31	1.88
unbiased	8	Abstract	4	80896	910.63	285.66	30	-0.23	0.76	30	96.77	31	2.07
unbind	6	Concrete	4	60869	1539.33	458.24	6	1.11	0.63	6	22.58	31	3.62
unbounded	4	Abstract	4	40914	1082.86	475.03	28	0.37	1.19	28	84.38	32	2.33
unbridled	2	Abstract	2	20480	1169.29	436.37	24	0.39	0.96	24	74.19	31	1.35
unbuckle	4	Concrete	2	40363	1066.08	577.73	24	0.14	1.28	24	75.00	32	3.59
unburden	5	Abstract	3	50706	1085.52	383.17	31	0.14	0.95	31	96.88	32	2
unbutton	1	Concrete	2	10373	1128.78	405.24	27	0.32	0.93	27	87.10	31	3.93
uncalled	10	Abstract	2	100436	1119.44	484.04	27	0.30	1.15	27	84.38	32	2.3
uncannily	4	Abstract	4	40920	956.74	333.94	31	0.11	0.96	31	100.00	31	1.92
uncanny	7	Abstract	4	70922	975.93	382.59	29	0.03	0.98	29	93.55	31	1.63
unceasing	9	Abstract	1	90237	1146.77	411.84	30	0.22	0.96	30	100.00	30	2.31
uncertain	2	Abstract	3	20745	846.84	272.62	31	-0.49	0.55	31	100.00	31	1.88
unchanged	1	Abstract	3	10702	944.60	294.37	30	-0.20	0.76	30	96.77	31	2.26
unchanging	8	Abstract	2	80488	940.07	301.96	30	-0.17	0.77	30	96.77	31	2.11
unchecked	8	Abstract	1	80191	1218.08	531.30	26	0.43	1.22	26	83.87	31	2.11
unchristian	3	Abstract	4	30988	1111.60	373.65	25	0.64	1.14	25	80.65	31	1.55
uncivil	2	Abstract	3	20715	1006.48	360.72	29	-0.02	0.88	29	96.77	31	1.7
unclear	2	Abstract	1	20162	996.83	397.85	30	-0.12	1.01	30	96.77	31	2.39
uncommon	7	Abstract	4	70947	809.07	182.88	29	-0.43	0.54	29	93.55	31	2.38
uncommonly	7	Abstract	3	70699	951.94	360.41	31	-0.19	0.81	31	100.00	31	1.79
unconditional	10	Abstract	1	100163	1104.28	450.15	32	0.19	1.03	32	100.00	32	1.77
unconscionable	4	Abstract	2	40413	1205.93	409.50	30	0.66	0.97	30	93.75	32	1.68
unconsciously	8	Abstract	3	80627	944.48	407.69	29	-0.26	0.99	29	96.77	31	1.57
unconvincing	3	Abstract	4	30956	926.17	351.74	30	-0.17	0.91	30	100.00	31	1.93
uncork	5	Concrete	3	50507	1131.92	425.18	26	0.32	1.09	26	81.25	32	3.61
uncorking	1	Concrete	4	10761	1119.25	387.22	20	0.35	0.99	20	64.52	31	3.78
uncounted	6	Abstract	3	60655	1032.68	424.22	28	0.02	0.92	28	90.32	31	2.22
uncouth	6	Abstract	3	60748	1266.27	470.15	22	0.66	0.84	22	74.19	31	1.87
undated	9	Abstract	4	90876	1132.10	393.55	29	0.61	1.25	29	96.67	30	2.11
undaunted	6	Abstract	1	60148	1076.08	320.80	25	0.15	0.82	25	80.65	31	1.97
undecided	7	Abstract	1	70156	908.52	208.90	29	-0.41	0.53	29	93.55	31	1.83
undefined	7	Abstract	4	70926	891.10	298.83	29	-0.17	0.89	29	100.00	31	1.4
undeniably	1	Abstract	4	10896	842.32	276.37	31	-0.39	0.86	31	100.00	31	1.48
undependable	1	Abstract	2	10377	983.77	335.86	31	-0.15	0.73	31	100.00	31	2.2
underbelly	2	Concrete	3	20514	1062.23	372.53	22	0.05	0.88	22	70.97	31	4.04
underbid	9	Abstract	3	90739	1217.42	426.78	19	0.86	1.02	19	70.00	30	1.92
underbrush	7	Concrete	1	70124	1045.97	406.07	31	-0.04	1.01	31	100.00	31	4.44
undercarriage	6	Concrete	3	60582	1251.63	532.37	27	0.60	1.18	27	87.10	31	4.54
underclassman	2	Concrete	3	20553	1118.93	439.15	28	0.41	1.09	28	90.32	31	3.9
underclothes	3	Concrete	3	30599	1004.25	321.37	28	-0.06	0.70	28	96.77	31	4.66
underclothing	2	Concrete	4	20845	940.66	356.84	29	-0.09	1.00	29	93.55	31	4.29
undercoat	7	Concrete	1	70082	984.35	338.95	31	-0.19	0.92	31	100.00	31	4.5
undercut	8	Abstract	3	80707	1182.10	336.92	10	0.47	0.64	10	32.26	31	2.07
undergarment	2	Concrete	2	20342	1172.41	442.39	27	0.59	1.00	27	87.10	31	4.48
undergo	6	Abstract	3	60691	1070.07	406.00	27	0.10	1.16	27	87.10	31	2.41
undergoing	6	Abstract	1	60166	1200.18	437.60	28	0.45	1.29	28	90.32	31	1.69
underground	2	Concrete	3	20594	953.03	293.64	30	-0.13	0.87	30	96.77	31	4.07
undergrowth	4	Concrete	2	40290	1122.75	314.18	24	0.57	1.05	24	71.88	32	3.59
underhand	8	Abstract	2	80425	1276.63	456.73	16	0.94	1.32	16	48.39	31	2.35
underline	9	Concrete	3	90571	1196.94	362.89	17	0.90	1.28	17	60.00	30	3.95
undermine	3	Abstract	3	30716	1122.24	402.38	25	0.36	1.07	25	80.65	31	1.9
undermining	4	Abstract	2	40490	1166.57	449.86	30	0.48	1.04	30	96.88	32	1.75
underpants	3	Concrete	1	30079	852.42	288.50	31	-0.62	0.57	31	100.00	31	4.89
underpass	1	Concrete	3	10623	1106.39	506.67	23	0.20	1.00	23	74.19	31	4.21
undersea	3	Concrete	3	30593	925.70	286.28	27	-0.17	0.89	27	87.10	31	3.83
undersell	8	Abstract	4	80947	1185.08	395.58	25	0.65	0.95	25	80.65	31	2.18
undershirt	5	Concrete	3	50531	1046.52	340.90	31	0.03	0.78	31	96.88	32	5
underside	1	Concrete	3	10566	1267.55	376.30	22	0.81	0.97	22	70.97	31	3.79
understandable	10	Abstract	1	100159	1026.56	340.53	32	-0.06	0.78	32	100.00	32	1.85
undertake	7	Abstract	4	70985	992.10	321.17	29	0.14	0.88	29	96.77	31	1.71
undertaker	3	Concrete	1	30024	1125.95	470.86	22	0.12	0.93	22	70.97	31	4.07
undertone	7	Abstract	2	70499	1277.07	426.40	15	0.98	0.93	15	48.39	31	2.4
undertow	4	Concrete	4	40855	1091.16	384.06	25	0.46	1.04	25	80.65	31	3.72
underwear	4	Concrete	1	40077	894.56	470.09	32	-0.56	1.18	32	100.00	32	4.96
underwent	1	Abstract	3	10728	1114.96	476.55	26	0.28	0.91	26	80.65	31	2.07
undimmed	7	Abstract	2	70470	1167.00	376.18	23	0.69	1.28	23	74.19	31	2.38
undisciplined	6	Abstract	1	60151	1224.00	420.61	28	0.50	0.82	28	90.32	31	2
undisclosed	4	Abstract	3	40723	959.90	362.52	30	0.03	0.98	30	93.75	32	1.73
undoing	8	Abstract	2	80393	1016.68	410.92	31	0.02	0.88	31	100.00	31	2.41
undoubted	7	Abstract	1	70159	1009.35	352.14	31	-0.15	0.84	31	100.00	31	1.79
undue	7	Abstract	4	70908	913.00	290.58	30	-0.15	0.68	30	96.77	31	1.67
undulating	7	Abstract	1	70235	1140.17	378.50	24	0.26	0.95	24	83.87	31	2.28
unduly	7	Abstract	1	70178	1032.16	425.17	31	-0.12	1.03	31	100.00	31	1.77
undying	6	Abstract	3	60709	923.52	332.04	25	-0.28	0.82	25	80.65	31	1.87
unearned	10	Abstract	2	100459	961.90	294.01	30	-0.14	0.61	30	93.75	32	1.57
unearthly	3	Abstract	1	30241	1356.48	502.02	27	0.72	1.21	27	90.32	31	1.85
unease	5	Abstract	1	50165	862.23	310.08	30	-0.44	0.70	30	100.00	32	1.93
uneasily	8	Abstract	2	80400	882.90	346.13	31	-0.46	0.80	31	100.00	31	1.43
uneasiness	6	Abstract	4	60946	1039.00	453.55	30	-0.05	0.92	30	96.77	31	1.82
uneasy	3	Abstract	4	30919	953.17	405.12	30	-0.11	0.96	30	96.77	31	1.86
uneducated	2	Abstract	2	20452	1125.96	453.61	28	0.37	1.13	28	90.32	31	2.15
unending	8	Abstract	2	80493	1051.03	361.94	29	0.20	1.06	29	96.77	31	1.93
unequaled	10	Abstract	4	100996	885.32	303.11	28	-0.25	0.77	28	90.63	32	1.9
