Word	VersionNum	WordType	Block	Word_ID_unique	RTclean_mean	RTclean_sd	Rtclean_n	zRTclean_mean	zRTclean_sd	zRTclean_n	ACC	ACC_n	Concrete_rating
alchemist	8	Concrete	4	80815	1055.75	451.70	28	0.26	1.17	28	87.10	31	4.23
alchemy	1	Abstract	4	10886	1097.00	252.57	11	0.32	1.12	11	38.71	31	2.1
alcohol	1	Concrete	3	10542	786.97	255.81	29	-0.69	0.67	29	93.55	31	4.76
alehouse	7	Concrete	4	70754	955.44	317.13	27	0.03	1.00	27	87.10	31	4.4
alertly	10	Abstract	1	100187	1063.68	449.66	28	-0.05	0.89	28	90.63	32	2.07
alfalfa	3	Concrete	3	30517	1145.81	403.26	26	0.42	1.07	26	87.10	31	4.69
algae	10	Concrete	3	100557	899.24	236.13	29	-0.34	0.78	29	90.63	32	4.93
alienate	8	Abstract	1	80207	1117.96	383.22	28	0.27	1.00	28	90.32	31	1.83
alike	5	Abstract	1	50134	1008.87	356.10	31	-0.03	0.82	31	96.88	32	2.38
allegation	3	Abstract	4	30934	1104.81	441.13	26	0.36	1.06	26	90.32	31	1.79
allege	2	Abstract	3	20737	992.89	274.81	28	0.16	0.97	28	90.32	31	1.76
allegedly	10	Abstract	4	100878	1057.94	477.25	32	0.15	1.16	32	100.00	32	1.64
allegiance	1	Abstract	2	10488	1207.07	529.33	29	0.48	1.25	29	93.55	31	1.77
allegorical	1	Abstract	3	10747	1119.76	447.92	29	0.41	1.33	29	96.77	31	1.52
allegory	6	Abstract	3	60712	1212.74	354.70	23	0.60	0.97	23	77.42	31	2.07
allergen	6	Concrete	2	60334	1054.09	390.10	22	0.15	0.63	22	70.97	31	3.93
allergy	1	Concrete	1	10079	1081.09	348.35	23	0.19	1.01	23	74.19	31	3.68
alleyway	6	Concrete	4	60854	1016.11	468.74	28	-0.09	0.87	28	90.32	31	4.3
alligator	5	Concrete	1	50037	846.44	228.80	32	-0.53	0.55	32	100.00	32	4.96
alliteration	2	Abstract	1	20193	1273.88	530.22	24	0.65	1.07	24	80.65	31	2.25
allocate	9	Abstract	2	90416	967.80	358.57	25	-0.05	1.19	25	90.00	30	2.38
allow	7	Abstract	3	70731	953.50	341.07	30	-0.12	0.87	30	96.77	31	2.41
allspice	9	Concrete	4	90777	1152.74	399.67	27	0.71	1.28	27	86.67	30	4.54
allure	2	Abstract	4	20963	853.52	241.63	31	-0.34	0.73	31	100.00	31	1.92
allusion	9	Abstract	2	90389	1102.04	362.84	25	0.41	1.04	25	83.33	30	1.58
almanac	3	Concrete	2	30299	1114.11	304.51	19	0.48	0.68	19	61.29	31	4.44
almond	3	Concrete	4	30762	720.17	140.28	30	-0.82	0.39	30	100.00	31	4.71
almost	10	Abstract	3	100644	878.32	303.08	28	-0.48	0.76	28	87.50	32	1.66
