!term,mean_cos,SemD,BNC_wordcount,BNC_contexts,BNC_freq,lg_BNC_freq,,,,,,,,,,,,,,,
acting,0.01,2.01,4712,3892,54.2,1.74,,,,,,,,,,,,,,,
action,0.007996966,2.10,21090,13202,242.4,2.39,,,,,,,,,,,,,,,
actionable,0.165502969,0.78,87,64,1.0,0.30,,,,,,,,,,,,,,,
actions,0.013398181,1.87,4690,3494,53.9,1.74,,,,,,,,,,,,,,,
activate,0.036592326,1.44,316,237,3.6,0.67,,,,,,,,,,,,,,,
activated,0.029172282,1.54,737,515,8.5,0.98,,,,,,,,,,,,,,,
activates,0.0596,1.22,88,82,1.0,0.30,,,,,,,,,,,,,,,
activating,0.058907468,1.23,455,125,5.2,0.79,,,,,,,,,,,,,,,
activation,0.09,1.06,559,305,6.4,0.87,,,,,,,,,,,,,,,
activator,0.115349897,0.94,298,69,3.4,0.65,,,,,,,,,,,,,,,
active,0.008700635,2.06,7108,5355,81.7,1.92,,,,,,,,,,,,,,,
actively,0.01,2.07,1430,1341,16.4,1.24,,,,,,,,,,,,,,,
activism,0.030548466,1.52,112,99,1.3,0.36,,,,,,,,,,,,,,,
activist,0.022966912,1.64,307,286,3.5,0.66,,,,,,,,,,,,,,,
activists,0.031612891,1.50,874,702,10.0,1.04,,,,,,,,,,,,,,,
activities,0.01067459,1.97,11129,7593,127.9,2.11,,,,,,,,,,,,,,,
activity,0.009842601,2.01,11108,7160,127.7,2.11,,,,,,,,,,,,,,,
actor,0.06,1.21,1882,1269,21.6,1.35,,,,,,,,,,,,,,,
actors,0.05,1.27,1671,1157,19.2,1.31,,,,,,,,,,,,,,,
actress,0.053822413,1.27,1054,817,12.1,1.12,,,,,,,,,,,,,,,
actresses,0.06,1.20,179,152,2.1,0.49,,,,,,,,,,,,,,,
acts,0.01,1.92,4561,3449,52.4,1.73,,,,,,,,,,,,,,,
actual,0.01,2.10,5599,4597,64.4,1.82,,,,,,,,,,,,,,,
actuality,0.023736024,1.62,153,121,1.8,0.44,,,,,,,,,,,,,,,
actually,0.008064332,2.09,12592,10580,144.7,2.16,,,,,,,,,,,,,,,
actuarial,0.097899199,1.01,193,93,2.2,0.51,,,,,,,,,,,,,,,
actuaries,0.110348124,0.96,170,63,2.0,0.47,,,,,,,,,,,,,,,
actuary,0.1815,0.74,94,44,1.1,0.32,,,,,,,,,,,,,,,
acumen,0.021864737,1.66,103,102,1.2,0.34,,,,,,,,,,,,,,,
acupuncture,0.09,1.05,191,93,2.2,0.50,,,,,,,,,,,,,,,
acute,0.017050498,1.77,2251,1541,25.9,1.43,,,,,,,,,,,,,,,
acutely,0.010942621,1.96,392,380,4.5,0.74,,,,,,,,,,,,,,,
ad,0.017562668,1.76,3188,2098,36.6,1.58,,,,,,,,,,,,,,,
adage,0.01034221,1.99,112,110,1.3,0.36,,,,,,,,,,,,,,,
adam,0.027272383,1.56,2638,1110,30.3,1.50,,,,,,,,,,,,,,,
adamant,0.01,1.95,361,354,4.1,0.71,,,,,,,,,,,,,,,
adamantly,0.014201214,1.85,59,59,0.7,0.22,,,,,,,,,,,,,,,
adapt,0.01025593,1.99,955,883,11.0,1.08,,,,,,,,,,,,,,,
adaptability,0.0213,1.67,155,137,1.8,0.44,,,,,,,,,,,,,,,
adaptable,0.01,1.88,230,220,2.6,0.56,,,,,,,,,,,,,,,
adaptation,0.02,1.69,760,591,8.7,0.99,,,,,,,,,,,,,,,
