WORD,OFREQ,ARC,NCOUNT,INVERSENCOUNT
ACCUMULATES,0.984591901,0.408915371,0,1
ACCUMULATING,1.724048734,0.459271431,0,1
ACCUMULATION,4.696057796,0.562946498,197,0.005050505
ACCUMULATIONS,0.565228701,0.37635833,0,1
ACCUMULATIVE,0.075971596,0.16913116,0,1
ACCUMULATOR,0.666524172,0.374186248,0,1
ACCUMULATORS,0.251212746,0.317829132,0,1
ACCURACY,15.05250549,0.611670196,3630,0.000275406
ACCURATE,21.73091507,0.629843891,5134,0.000194742
ACCURATELY,9.078099251,0.601176798,2954,0.000338409
ACCURSED,0.310977072,0.264290929,0,1
ACCURST,0.002025909,0.205959052,0,1
ACCUSATION,3.443032742,0.550628722,3,0.25
ACCUSATIONS,9.191550255,0.584216774,1968,0.000507872
ACCUSATIVE,0.968384624,0.509181738,0,1
ACCUSE,2.172787666,0.512316763,0,1
ACCUSED,40.61643982,0.640038311,5680,0.000176025
ACCUSER,0.561176836,0.32199353,0,1
ACCUSERS,0.402143002,0.29932034,0,1
ACCUSES,2.875778198,0.544153512,0,1
ACCUSING,4.675798416,0.558670342,25,0.03846154
ACCUSINGLY,0.014181364,0.28568989,0,1
ACCUSTOM,0.069893867,0.167262152,0,1
ACCUSTOMED,2.66812253,0.492515922,0,1
ACCUSTOMING,0.010129547,0.268562049,0,1
ACCUSTOMS,0.009116592,0.318208694,0,1
ACE,16.26197433,0.607888639,4213,0.000237304
ACERBIC,0.413285494,0.307641506,0,1
ACES,4.883454323,0.553720534,1,0.5
ACETATE,2.144424915,0.514383852,0,1
ACETIC,1.152742386,0.48028335,0,1
ACETONE,0.748573482,0.443438739,0,1
ACETYLENE,0.568267524,0.393692762,0,1
ACEVEDO,0.725275517,0.361081839,0,1
ACHE,0.513567984,0.296162575,0,1
ACHED,0.026336821,0.200478747,0,1
ACHES,0.320093662,0.344359428,0,1
ACHIEVABLE,0.914698005,0.435164303,0,1
ACHIEVE,37.45399857,0.651390135,6595,0.000151607
ACHIEVED,62.84674454,0.665321946,7474,0.000133779
ACHIEVEMENT,25.69663239,0.623128772,5032,0.000198689
ACHIEVEMENTS,18.57758713,0.616375685,4591,0.00021777
ACHIEVES,2.499972105,0.53852272,0,1
ACHIEVING,13.15625477,0.607080221,3787,0.000263992
ACHILLES,3.72362113,0.513610005,0,1
ACHING,0.343391627,0.287148714,0,1
ACID,38.87010956,0.605431855,2969,0.0003367
ACIDIC,3.508874893,0.563461721,12,0.07692308
ACIDIFIED,0.101295464,0.267400384,0,1
ACIDITY,1.453589916,0.494509369,0,1
ACIDS,9.934045792,0.583651721,190,0.005235602
ACIDULOUS,0.015194319,0.229156122,0,1
ACKER,0.566241622,0.332877606,0,1
ACKERMAN,1.569066763,0.461385638,0,1
ACKNOWLEDGE,5.594548225,0.564955115,687,0.001453488
ACKNOWLEDGED,15.9317503,0.625227273,5188,0.000192715
ACKNOWLEDGEMENT,1.270245075,0.418905109,0,1
ACKNOWLEDGEMENTS,0.238044336,0.236621961,0,1
ACKNOWLEDGES,2.961879253,0.544653296,0,1
